ID,Driver,Country,Team,Car,Engine,Tyres,Points
1,Lewis Hamilton,UK,Mercedes,Mercedes W10,Mercedes,Pirelli,413,
2,Valtteri Bottas,Finland,Mercedes,Mercedes W10,Mercedes,Pirelli,326,
3,Max Verstappen,Netherlands,Red Bull Racing,Red Bull RB15,Honda,Pirelli,278,
4,Charles Leclerc,Monaco,Ferrari,Ferrari SF90,Ferrari,Pirelli,264,
5,Sebastian Vettel,Germany,Ferrari,Ferrari SF90,Ferrari,Pirelli,240,
6,Carlos Sainz Jr.,Spain,McLaren,McLaren MCL34,Renault,Pirelli,96,
7,Pierre Gasly,France,Scuderia Toro Rosso,Scuderia Toro Rosso STR14,Honda,Pirelli,95,
8,Alex Albon,Thailand,Red Bull Racing,Red Bull RB15,Honda,Pirelli,92,
9,Daniel Ricciardo,Australia,Renault,Renault R.S. 19,Renault,Pirelli,54,
10,Sergio Perez,Mexico,Racing Point,Racing Point RP19,Mercedes,Pirelli,52,
11,Lando Norris,UK,McLaren,McLaren MCL34,Renault,Pirelli,49,
12,Kimi Raikkonen,Finland,Alfa Romeo,Alfa Romeo C38,Ferrari,Pirelli,43,
13,Nico Hulkenberg,Germany,Renault,Renault R.S. 19,Renault,Pirelli,37,
14,Daniil Kvyat,Russia,Scuderia Toro Rosso,Scuderia Toro Rosso STR14,Honda,Pirelli,37,
16,Kevin Magnussen,Denmark,Haas,Haas VF-19,Ferrari,Pirelli,20,
17,Antonio Giovinazzi,Italy,Alfa Romeo,Alfa Romeo C38,Ferrari,Pirelli,14,
18,Romain Grosjean,France,Haas,Haas VF-19,Ferrari,Pirelli,8,
19,Robert Kubica,Poland,Williams,Williams FW42,Mercedes,Pirelli,1,
20,George Russell,UK,Williams,Williams FW42,Mercedes,Pirelli,0,
21,Gary Wheeler,Ireland,Jordan GrandPrix,EJ15,Honda,Michelin,100,
